Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
aero-cloud-lite,,,,,,,,Size,EU 42,Color,White / Silver,LH-ACL-42,850,shopify,21,deny,manual,4590,5490,TRUE,TRUE,,,,,,active
aero-cloud-lite,,,,,,,,Size,EU 43,Color,White / Silver,LH-ACL-43,850,shopify,24,deny,manual,4590,5490,TRUE,TRUE,,,,,,active
aero-cloud-lite,,,,,,,,Size,EU 44,Color,White / Silver,LH-ACL-44,850,shopify,27,deny,manual,4590,5490,TRUE,TRUE,,,,,,active
aero-cloud-lite,,,,,,,,Size,EU 45,Color,White / Silver,LH-ACL-45,850,shopify,30,deny,manual,4590,5490,TRUE,TRUE,,,,,,active
terra-drift,"Terra Drift","<p>Inspired by earthy tones and organic textures, Terra Drift brings warm neutral elegance to your everyday wardrobe.</p><h3>Highlights</h3><ul><li>Premium suede-textured panels over structured canvas</li><li>Tonal aesthetic with warm sand and cream hues</li><li>Durable vulcanized-look rubber cupsole</li><li>Reinforced toe cap for extended longevity</li><li>All-day supportive insole</li></ul><h3>Details</h3><ul><li><strong>Upper:</strong> Premium suede and structured canvas</li><li><strong>Lining:</strong> Brushed cotton textile</li><li><strong>Midsole:</strong> Cushioned EVA insert</li><li><strong>Outsole:</strong> Classic gum-toned rubber</li><li><strong>Fit:</strong> True to size with a comfortable relaxed forefoot.</li></ul><p><strong>Care Instructions:</strong> Wipe clean with a soft damp cloth. Air dry naturally away from direct heat.</p>",LeagueHub,Apparel & Accessories > Shoes,Casual Sneakers,"men, women, casual, beige, neutral, suede, featured",TRUE,Size,EU 39,Color,Sand / Cream,LH-TD-39,850,shopify,12,deny,manual,4290,4990,TRUE,TRUE,https://raw.githubusercontent.com/softvencemasud-cpu/shopify-theme-dev/main/assets/jotar-prod-03.jpg,1,"Terra Drift Sand / Cream side profile","Terra Drift Casual Sneakers | LeagueHub","Discover the Terra Drift in warm Sand and Cream. Premium neutral lifestyle sneaker crafted for timeless versatility.",active
terra-drift,,,,,,,,Size,EU 40,Color,Sand / Cream,LH-TD-40,850,shopify,15,deny,manual,4290,4990,TRUE,TRUE,,,,,,active
terra-drift,,,,,,,,Size,EU 41,Color,Sand / Cream,LH-TD-41,850,shopify,18,deny,manual,4290,4990,TRUE,TRUE,,,,,,active
terra-drift,,,,,,,,Size,EU 42,Color,Sand / Cream,LH-TD-42,850,shopify,21,deny,manual,4290,4990,TRUE,TRUE,,,,,,active
terra-drift,,,,,,,,Size,EU 43,Color,Sand / Cream,LH-TD-43,850,shopify,24,deny,manual,4290,4990,TRUE,TRUE,,,,,,active
terra-drift,,,,,,,,Size,EU 44,Color,Sand / Cream,LH-TD-44,850,shopify,27,deny,manual,4290,4990,TRUE,TRUE,,,,,,active
terra-drift,,,,,,,,Size,EU 45,Color,Sand / Cream,LH-TD-45,850,shopify,30,deny,manual,4290,4990,TRUE,TRUE,,,,,,active
shadow-flex-pro,"Shadow Flex Pro","<p>Stealth, structure, and speed. The Shadow Flex Pro is a technical masterpiece crafted entirely in deep monochrome black with sculpted multi-density cushioning.</p><h3>Highlights</h3><ul><li>Triple black technical aesthetic with matte textural contrast</li><li>Sculpted high-rebound cushioning system</li><li>Thermal-bonded overlays for lateral stability</li><li>Padded heel collar preventing Achilles fatigue</li><li>High-grip tread pattern for slick pavements</li></ul><h3>Details</h3><ul><li><strong>Upper:</strong> Engineered mesh with TPU structural ribs</li><li><strong>Lining:</strong> Performance micro-mesh</li><li><strong>Midsole:</strong> Dual-density energy returning compound</li><li><strong>Outsole:</strong> Stealth black carbon rubber</li><li><strong>Fit:</strong> Snug athletic fit. True to size.</li></ul><p><strong>Care Instructions:</strong> Wipe clean with a soft damp cloth. Air dry naturally away from direct heat.</p>",LeagueHub,Apparel & Accessories > Shoes,Performance Shoes,"men, women, running, performance, black, triple-black, best-seller",TRUE,Size,EU 39,Color,Triple Black,LH-SFP-39,850,shopify,12,deny,manual,5490,6490,TRUE,TRUE,https://raw.githubusercontent.com/softvencemasud-cpu/shopify-theme-dev/main/assets/jotar-prod-04.jpg,1,"Shadow Flex Pro Triple Black side profile","Shadow Flex Pro Triple Black | Performance Shoes | LeagueHub","Engineered for elite support and dark minimalist aesthetic. Shop the Shadow Flex Pro in Triple Black at LeagueHub.",active
shadow-flex-pro,,,,,,,,Size,EU 40,Color,Triple Black,LH-SFP-40,850,shopify,15,deny,manual,5490,6490,TRUE,TRUE,,,,,,active
shadow-flex-pro,,,,,,,,Size,EU 41,Color,Triple Black,LH-SFP-41,850,shopify,18,deny,manual,5490,6490,TRUE,TRUE,,,,,,active
shadow-flex-pro,,,,,,,,Size,EU 42,Color,Triple Black,LH-SFP-42,850,shopify,21,deny,manual,5490,6490,TRUE,TRUE,,,,,,active
shadow-flex-pro,,,,,,,,Size,EU 43,Color,Triple Black,LH-SFP-43,850,shopify,24,deny,manual,5490,6490,TRUE,TRUE,,,,,,active
shadow-flex-pro,,,,,,,,Size,EU 44,Color,Triple Black,LH-SFP-44,850,shopify,27,deny,manual,5490,6490,TRUE,TRUE,,,,,,active
shadow-flex-pro,,,,,,,,Size,EU 45,Color,Triple Black,LH-SFP-45,850,shopify,30,deny,manual,5490,6490,TRUE,TRUE,,,,,,active
metro-court,"Metro Court","<p>A modern tribute to vintage court heritage. The Metro Court delivers clean lines, understated contrast, and dependable everyday comfort.</p><h3>Highlights</h3><ul><li>Clean smooth leather-inspired upper with minimal perforation</li><li>Classic contrast heel tab and side piping</li><li>Low-profile rubber cupsole with stitched perimeter</li><li>Padded tongue with woven brand badge</li><li>Memory foam insole for step-in plushness</li></ul><h3>Details</h3><ul><li><strong>Upper:</strong> Smooth synthetic leather</li><li><strong>Lining:</strong> Breathable mesh textile</li><li><strong>Midsole:</strong> Integrated EVA midsole</li><li><strong>Outsole:</strong> Non-marking flat rubber sole</li><li><strong>Fit:</strong> Standard fit. Fits true to size.</li></ul><p><strong>Care Instructions:</strong> Wipe clean with a soft damp cloth. Air dry naturally away from direct heat.</p>",LeagueHub,Apparel & Accessories > Shoes,Casual Sneakers,"men, women, casual, everyday, white, black, classic",TRUE,Size,EU 39,Color,White / Black,LH-MC-39,850,shopify,12,deny,manual,3990,4590,TRUE,TRUE,https://raw.githubusercontent.com/softvencemasud-cpu/shopify-theme-dev/main/assets/jotar-prod-05.jpg,1,"Metro Court White / Black side profile","Metro Court Classic Sneakers | LeagueHub","Minimalist low-profile design meets everyday comfort. Explore the Metro Court sneakers in clean White/Black.",active
metro-court,,,,,,,,Size,EU 40,Color,White / Black,LH-MC-40,850,shopify,15,deny,manual,3990,4590,TRUE,TRUE,,,,,,active
metro-court,,,,,,,,Size,EU 41,Color,White / Black,LH-MC-41,850,shopify,18,deny,manual,3990,4590,TRUE,TRUE,,,,,,active
metro-court,,,,,,,,Size,EU 42,Color,White / Black,LH-MC-42,850,shopify,21,deny,manual,3990,4590,TRUE,TRUE,,,,,,active
metro-court,,,,,,,,Size,EU 43,Color,White / Black,LH-MC-43,850,shopify,24,deny,manual,3990,4590,TRUE,TRUE,,,,,,active
metro-court,,,,,,,,Size,EU 44,Color,White / Black,LH-MC-44,850,shopify,27,deny,manual,3990,4590,TRUE,TRUE,,,,,,active
metro-court,,,,,,,,Size,EU 45,Color,White / Black,LH-MC-45,850,shopify,30,deny,manual,3990,4590,TRUE,TRUE,,,,,,active
nova-sprint,"Nova Sprint","<p>Built for forward momentum. The Nova Sprint features a responsive visible heel air pod with a pop of electric orange for dynamic road performance.</p><h3>Highlights</h3><ul><li>Visible heel air-cushioning cell with vibrant orange accent</li><li>Gradient engineered mesh upper providing zoned ventilation</li><li>Molded TPU heel clip for locked stability</li><li>Speed lacing system for customized fit</li><li>Segmented crash pad on outsole</li></ul><h3>Details</h3><ul><li><strong>Upper:</strong> Engineered zoned mesh with supportive overlays</li><li><strong>Lining:</strong> Lightweight sports lining</li><li><strong>Midsole:</strong> Air-pocket foam cushioning</li><li><strong>Outsole:</strong> High-abrasion durable rubber</li><li><strong>Fit:</strong> Snug performance fit. Order half size up for wide feet.</li></ul><p><strong>Care Instructions:</strong> Wipe clean with a soft damp cloth. Air dry naturally away from direct heat.</p>",LeagueHub,Apparel & Accessories > Shoes,Running Shoes,"men, women, running, performance, orange, new-arrival",TRUE,Size,EU 39,Color,White / Graphite / Orange,LH-NS-39,850,shopify,12,deny,manual,5990,6990,TRUE,TRUE,https://raw.githubusercontent.com/softvencemasud-cpu/shopify-theme-dev/main/assets/jotar-prod-06.jpg,1,"Nova Sprint White / Graphite / Orange side profile","Nova Sprint Performance Runner | LeagueHub","Elevate your run with the Nova Sprint. Visible air cushioning and responsive agility engineered for maximum momentum.",active
nova-sprint,,,,,,,,Size,EU 40,Color,White / Graphite / Orange,LH-NS-40,850,shopify,15,deny,manual,5990,6990,TRUE,TRUE,,,,,,active
nova-sprint,,,,,,,,Size,EU 41,Color,White / Graphite / Orange,LH-NS-41,850,shopify,18,deny,manual,5990,6990,TRUE,TRUE,,,,,,active
nova-sprint,,,,,,,,Size,EU 42,Color,White / Graphite / Orange,LH-NS-42,850,shopify,21,deny,manual,5990,6990,TRUE,TRUE,,,,,,active
nova-sprint,,,,,,,,Size,EU 43,Color,White / Graphite / Orange,LH-NS-43,850,shopify,24,deny,manual,5990,6990,TRUE,TRUE,,,,,,active
nova-sprint,,,,,,,,Size,EU 44,Color,White / Graphite / Orange,LH-NS-44,850,shopify,27,deny,manual,5990,6990,TRUE,TRUE,,,,,,active
nova-sprint,,,,,,,,Size,EU 45,Color,White / Graphite / Orange,LH-NS-45,850,shopify,30,deny,manual,5990,6990,TRUE,TRUE,,,,,,active
mono-street-high,"Mono Street High","<p>Command attention in the Mono Street High. Designed with an iconic high-cut silhouette, padded ankle support, and sharp monochrome contrast.</p><h3>Highlights</h3><ul><li>High-cut padded collar protecting ankle and adding warmth</li><li>Contrasting white leather and heavy-duty black canvas</li><li>Textured rubber mudguard and thick street sole</li><li>Metal lace eyelets with reinforced stitching</li><li>Internal cushioned footbed</li></ul><h3>Details</h3><ul><li><strong>Upper:</strong> Heavy-duty canvas and full-grain synthetic leather</li><li><strong>Lining:</strong> Padded textile lining</li><li><strong>Midsole:</strong> Durable vulcanized compound</li><li><strong>Outsole:</strong> Lugged street grip rubber</li><li><strong>Fit:</strong> True to size with generous ankle volume.</li></ul><p><strong>Care Instructions:</strong> Wipe clean with a soft damp cloth. Air dry naturally away from direct heat.</p>",LeagueHub,Apparel & Accessories > Shoes,High Top Sneakers,"men, streetwear, high-top, black, white, best-seller",TRUE,Size,EU 39,Color,Black / White,LH-MSH-39,850,shopify,12,deny,manual,5290,5990,TRUE,TRUE,https://raw.githubusercontent.com/softvencemasud-cpu/shopify-theme-dev/main/assets/jotar-prod-07.jpg,1,"Mono Street High Black / White side profile","Mono Street High Top Sneakers | LeagueHub","Iconic street style with all-day ankle support. Shop the Mono Street High sneaker in Black and White.",active
mono-street-high,,,,,,,,Size,EU 40,Color,Black / White,LH-MSH-40,850,shopify,15,deny,manual,5290,5990,TRUE,TRUE,,,,,,active
mono-street-high,,,,,,,,Size,EU 41,Color,Black / White,LH-MSH-41,850,shopify,18,deny,manual,5290,5990,TRUE,TRUE,,,,,,active
mono-street-high,,,,,,,,Size,EU 42,Color,Black / White,LH-MSH-42,850,shopify,21,deny,manual,5290,5990,TRUE,TRUE,,,,,,active
mono-street-high,,,,,,,,Size,EU 43,Color,Black / White,LH-MSH-43,850,shopify,24,deny,manual,5290,5990,TRUE,TRUE,,,,,,active
mono-street-high,,,,,,,,Size,EU 44,Color,Black / White,LH-MSH-44,850,shopify,27,deny,manual,5290,5990,TRUE,TRUE,,,,,,active
mono-street-high,,,,,,,,Size,EU 45,Color,Black / White,LH-MSH-45,850,shopify,30,deny,manual,5290,5990,TRUE,TRUE,,,,,,active
cloudform-one,"Cloudform One","<p>Step into pure comfort. The Cloudform One offers an all-white minimalist silhouette atop an ultra-soft thick cushioned platform.</p><h3>Highlights</h3><ul><li>Tonal Cloud White aesthetic from upper to outsole</li><li>Oversized plush foam midsole for pillow-like cushioning</li><li>Seamless one-piece knit upper</li><li>Slip-on collar with integrated lacing support</li><li>Ultra-lightweight construction</li></ul><h3>Details</h3><ul><li><strong>Upper:</strong> One-piece circular knit</li><li><strong>Lining:</strong> Seamless textile</li><li><strong>Midsole:</strong> Ultra-cushioned CloudForm EVA</li><li><strong>Outsole:</strong> High-traction rubber pods</li><li><strong>Fit:</strong> Fits true to size with flexible knit stretch.</li></ul><p><strong>Care Instructions:</strong> Wipe clean with a soft damp cloth. Air dry naturally away from direct heat.</p>",LeagueHub,Apparel & Accessories > Shoes,Running Shoes,"men, women, running, cloud, white, comfort",TRUE,Size,EU 39,Color,Cloud White,LH-CO-39,850,shopify,12,deny,manual,4790,5490,TRUE,TRUE,https://raw.githubusercontent.com/softvencemasud-cpu/shopify-theme-dev/main/assets/jotar-prod-08.jpg,1,"Cloudform One Cloud White side profile","Cloudform One All White Runner | LeagueHub","Ultra-plush cushioning meets seamless all-white design. Experience the Cloudform One at LeagueHub.",active
cloudform-one,,,,,,,,Size,EU 40,Color,Cloud White,LH-CO-40,850,shopify,15,deny,manual,4790,5490,TRUE,TRUE,,,,,,active
cloudform-one,,,,,,,,Size,EU 41,Color,Cloud White,LH-CO-41,850,shopify,18,deny,manual,4790,5490,TRUE,TRUE,,,,,,active
cloudform-one,,,,,,,,Size,EU 42,Color,Cloud White,LH-CO-42,850,shopify,21,deny,manual,4790,5490,TRUE,TRUE,,,,,,active
cloudform-one,,,,,,,,Size,EU 43,Color,Cloud White,LH-CO-43,850,shopify,24,deny,manual,4790,5490,TRUE,TRUE,,,,,,active
cloudform-one,,,,,,,,Size,EU 44,Color,Cloud White,LH-CO-44,850,shopify,27,deny,manual,4790,5490,TRUE,TRUE,,,,,,active
cloudform-one,,,,,,,,Size,EU 45,Color,Cloud White,LH-CO-45,850,shopify,30,deny,manual,4790,5490,TRUE,TRUE,,,,,,active
ash-motion,"Ash Motion","<p>The Ash Motion blends deep charcoal tones with dark black accents, creating an understated everyday sneaker for urban living.</p><h3>Highlights</h3><ul><li>Multi-panel charcoal and black textured upper</li><li>Low-profile cushioned sole tailored for long walks</li><li>Soft padded collar and reinforced tongue</li><li>Reflective heel tab for low-light visibility</li><li>Breathable inner lining</li></ul><h3>Details</h3><ul><li><strong>Upper:</strong> Microfiber suede and dense ballistic nylon</li><li><strong>Lining:</strong> Cushioned mesh</li><li><strong>Midsole:</strong> Flexible compression molded EVA</li><li><strong>Outsole:</strong> Non-slip patterned rubber</li><li><strong>Fit:</strong> True to size.</li></ul><p><strong>Care Instructions:</strong> Wipe clean with a soft damp cloth. Air dry naturally away from direct heat.</p>",LeagueHub,Apparel & Accessories > Shoes,Lifestyle Sneakers,"men, lifestyle, charcoal, black, urban",TRUE,Size,EU 39,Color,Charcoal / Black,LH-AM-39,850,shopify,12,deny,manual,4490,5290,TRUE,TRUE,https://raw.githubusercontent.com/softvencemasud-cpu/shopify-theme-dev/main/assets/jotar-prod-09.jpg,1,"Ash Motion Charcoal / Black side profile","Ash Motion Charcoal Urban Sneakers | LeagueHub","Understated style and durable comfort. Shop the Ash Motion in Charcoal and Black at LeagueHub.",active
ash-motion,,,,,,,,Size,EU 40,Color,Charcoal / Black,LH-AM-40,850,shopify,15,deny,manual,4490,5290,TRUE,TRUE,,,,,,active
ash-motion,,,,,,,,Size,EU 41,Color,Charcoal / Black,LH-AM-41,850,shopify,18,deny,manual,4490,5290,TRUE,TRUE,,,,,,active
ash-motion,,,,,,,,Size,EU 42,Color,Charcoal / Black,LH-AM-42,850,shopify,21,deny,manual,4490,5290,TRUE,TRUE,,,,,,active
ash-motion,,,,,,,,Size,EU 43,Color,Charcoal / Black,LH-AM-43,850,shopify,24,deny,manual,4490,5290,TRUE,TRUE,,,,,,active
ash-motion,,,,,,,,Size,EU 44,Color,Charcoal / Black,LH-AM-44,850,shopify,27,deny,manual,4490,5290,TRUE,TRUE,,,,,,active
ash-motion,,,,,,,,Size,EU 45,Color,Charcoal / Black,LH-AM-45,850,shopify,30,deny,manual,4490,5290,TRUE,TRUE,,,,,,active
dune-arc,"Dune Arc","<p>Sculptural, refined, and versatile. The Dune Arc brings organic curved paneling and rich taupe suede to modern luxury casual footwear.</p><h3>Highlights</h3><ul><li>Curved architectural suede overlay panels</li><li>Sophisticated taupe and warm beige palette</li><li>Layered chunky midsole with sculpted lines</li><li>Brushed metal eyelets and premium flat laces</li><li>Ergonomic footbed with leather heel lining</li></ul><h3>Details</h3><ul><li><strong>Upper:</strong> Velvety suede with fine-weave mesh underlays</li><li><strong>Lining:</strong> Textile with leather heel counter</li><li><strong>Midsole:</strong> Sculpted multi-layer EVA</li><li><strong>Outsole:</strong> Warm cream rubber outsole</li><li><strong>Fit:</strong> True to size.</li></ul><p><strong>Care Instructions:</strong> Wipe clean with a soft damp cloth. Air dry naturally away from direct heat.</p>",LeagueHub,Apparel & Accessories > Shoes,Casual Sneakers,"men, women, premium, casual, taupe, beige, featured",TRUE,Size,EU 39,Color,Taupe / Beige,LH-DA-39,850,shopify,12,deny,manual,5190,5890,TRUE,TRUE,https://raw.githubusercontent.com/softvencemasud-cpu/shopify-theme-dev/main/assets/jotar-prod-10.jpg,1,"Dune Arc Taupe / Beige side profile","Dune Arc Premium Taupe Sneakers | LeagueHub","Architectural lines in warm neutral taupe. Discover the Dune Arc premium casual sneakers by LeagueHub.",active
dune-arc,,,,,,,,Size,EU 40,Color,Taupe / Beige,LH-DA-40,850,shopify,15,deny,manual,5190,5890,TRUE,TRUE,,,,,,active
dune-arc,,,,,,,,Size,EU 41,Color,Taupe / Beige,LH-DA-41,850,shopify,18,deny,manual,5190,5890,TRUE,TRUE,,,,,,active
dune-arc,,,,,,,,Size,EU 42,Color,Taupe / Beige,LH-DA-42,850,shopify,21,deny,manual,5190,5890,TRUE,TRUE,,,,,,active
dune-arc,,,,,,,,Size,EU 43,Color,Taupe / Beige,LH-DA-43,850,shopify,24,deny,manual,5190,5890,TRUE,TRUE,,,,,,active
dune-arc,,,,,,,,Size,EU 44,Color,Taupe / Beige,LH-DA-44,850,shopify,27,deny,manual,5190,5890,TRUE,TRUE,,,,,,active
dune-arc,,,,,,,,Size,EU 45,Color,Taupe / Beige,LH-DA-45,850,shopify,30,deny,manual,5190,5890,TRUE,TRUE,,,,,,active
velocity-core,"Velocity Core","<p>Built for high cadence and maximum energy efficiency. The Velocity Core utilizes a reinforced TPU chassis and reactive cushioning.</p><h3>Highlights</h3><ul><li>Rigid heel counter providing maximum torsional stability</li><li>Aerodynamic gradient mesh upper</li><li>High-rebound polymer midsole compound</li><li>Reinforced toe guard protecting against drag</li><li>Zoned rubber outsole for high durability</li></ul><h3>Details</h3><ul><li><strong>Upper:</strong> Technical engineered jacquard mesh</li><li><strong>Lining:</strong> Anti-friction sports fabric</li><li><strong>Midsole:</strong> High-rebound polymer foam</li><li><strong>Outsole:</strong> Carbon rubber traction</li><li><strong>Fit:</strong> Athletic snug fit. Fits true to size.</li></ul><p><strong>Care Instructions:</strong> Wipe clean with a soft damp cloth. Air dry naturally away from direct heat.</p>",LeagueHub,Apparel & Accessories > Shoes,Performance Shoes,"men, performance, running, technical, black",TRUE,Size,EU 39,Color,Black / Gray / White,LH-VC-39,850,shopify,12,deny,manual,6290,7290,TRUE,TRUE,https://raw.githubusercontent.com/softvencemasud-cpu/shopify-theme-dev/main/assets/jotar-prod-11.jpg,1,"Velocity Core Black / Gray / White side profile","Velocity Core Performance Sneakers | LeagueHub","Maximum responsiveness and torsional stability. Explore the Velocity Core technical runner at LeagueHub.",active
velocity-core,,,,,,,,Size,EU 40,Color,Black / Gray / White,LH-VC-40,850,shopify,15,deny,manual,6290,7290,TRUE,TRUE,,,,,,active
velocity-core,,,,,,,,Size,EU 41,Color,Black / Gray / White,LH-VC-41,850,shopify,18,deny,manual,6290,7290,TRUE,TRUE,,,,,,active
velocity-core,,,,,,,,Size,EU 42,Color,Black / Gray / White,LH-VC-42,850,shopify,21,deny,manual,6290,7290,TRUE,TRUE,,,,,,active
velocity-core,,,,,,,,Size,EU 43,Color,Black / Gray / White,LH-VC-43,850,shopify,24,deny,manual,6290,7290,TRUE,TRUE,,,,,,active
velocity-core,,,,,,,,Size,EU 44,Color,Black / Gray / White,LH-VC-44,850,shopify,27,deny,manual,6290,7290,TRUE,TRUE,,,,,,active
velocity-core,,,,,,,,Size,EU 45,Color,Black / Gray / White,LH-VC-45,850,shopify,30,deny,manual,6290,7290,TRUE,TRUE,,,,,,active
ivory-shift,"Ivory Shift","<p>The Ivory Shift captures the essence of quiet luxury with tonal off-white leather, clean proportions, and a versatile low-cut profile.</p><h3>Highlights</h3><ul><li>Tonal ivory and warm cream layered panels</li><li>Ultra-soft leather-feel synthetic upper</li><li>Padded insole with arch contouring</li><li>Minimalist unbranded aesthetic</li><li>Long-lasting textured rubber cupsole</li></ul><h3>Details</h3><ul><li><strong>Upper:</strong> Smooth premium synthetic leather</li><li><strong>Lining:</strong> Soft microfiber textile</li><li><strong>Midsole:</strong> Integrated cushioned EVA bed</li><li><strong>Outsole:</strong> Durable rubber cupsole</li><li><strong>Fit:</strong> True to size with regular width.</li></ul><p><strong>Care Instructions:</strong> Wipe clean with a soft damp cloth. Air dry naturally away from direct heat.</p>",LeagueHub,Apparel & Accessories > Shoes,Lifestyle Sneakers,"women, men, lifestyle, ivory, cream, minimal",TRUE,Size,EU 39,Color,Ivory / Cream,LH-IS-39,850,shopify,12,deny,manual,4390,4990,TRUE,TRUE,https://raw.githubusercontent.com/softvencemasud-cpu/shopify-theme-dev/main/assets/jotar-prod-12.jpg,1,"Ivory Shift Ivory / Cream side profile","Ivory Shift Minimalist Sneakers | LeagueHub","Quiet luxury for everyday wear. Shop the clean Ivory Shift sneakers in tonal Cream at LeagueHub.",active
ivory-shift,,,,,,,,Size,EU 40,Color,Ivory / Cream,LH-IS-40,850,shopify,15,deny,manual,4390,4990,TRUE,TRUE,,,,,,active
ivory-shift,,,,,,,,Size,EU 41,Color,Ivory / Cream,LH-IS-41,850,shopify,18,deny,manual,4390,4990,TRUE,TRUE,,,,,,active
ivory-shift,,,,,,,,Size,EU 42,Color,Ivory / Cream,LH-IS-42,850,shopify,21,deny,manual,4390,4990,TRUE,TRUE,,,,,,active
ivory-shift,,,,,,,,Size,EU 43,Color,Ivory / Cream,LH-IS-43,850,shopify,24,deny,manual,4390,4990,TRUE,TRUE,,,,,,active
ivory-shift,,,,,,,,Size,EU 44,Color,Ivory / Cream,LH-IS-44,850,shopify,27,deny,manual,4390,4990,TRUE,TRUE,,,,,,active
ivory-shift,,,,,,,,Size,EU 45,Color,Ivory / Cream,LH-IS-45,850,shopify,30,deny,manual,4390,4990,TRUE,TRUE,,,,,,active
